file,category,confidence,Ruta,Fecha,Hora,Datetime,FechaHora,Rafaga
S4-a- (2181).JPG,animal,0.863,Muestreo ct sauce/CT S 2023/S4/S4-a- (2181).JPG,2023-02-23,10:12:05,2023-02-23 10:12:05,2023-02-23 10:12:05,491
S4-a- (2182).JPG,animal,0.903,Muestreo ct sauce/CT S 2023/S4/S4-a- (2182).JPG,2023-02-23,10:12:45,2023-02-23 10:12:45,2023-02-23 10:12:45,492
S4-a- (2183).JPG,animal,0.893,Muestreo ct sauce/CT S 2023/S4/S4-a- (2183).JPG,2023-02-23,10:12:45,2023-02-23 10:12:45,2023-02-23 10:12:45,493
S4-a- (2184).JPG,animal,0.9,Muestreo ct sauce/CT S 2023/S4/S4-a- (2184).JPG,2023-02-23,10:12:45,2023-02-23 10:12:45,2023-02-23 10:12:45,494
S4-a- (2185).JPG,animal,0.87,Muestreo ct sauce/CT S 2023/S4/S4-a- (2185).JPG,2023-02-23,10:13:04,2023-02-23 10:13:04,2023-02-23 10:13:04,495
S4-a- (2186).JPG,animal,0.864,Muestreo ct sauce/CT S 2023/S4/S4-a- (2186).JPG,2023-02-23,10:13:05,2023-02-23 10:13:05,2023-02-23 10:13:05,496
S4-a- (2187).JPG,animal,0.852,Muestreo ct sauce/CT S 2023/S4/S4-a- (2187).JPG,2023-02-23,10:13:05,2023-02-23 10:13:05,2023-02-23 10:13:05,497
S4-a- (2188).JPG,animal,0.893,Muestreo ct sauce/CT S 2023/S4/S4-a- (2188).JPG,2023-02-23,10:13:27,2023-02-23 10:13:27,2023-02-23 10:13:27,498
S4-a- (2189).JPG,animal,0.893,Muestreo ct sauce/CT S 2023/S4/S4-a- (2189).JPG,2023-02-23,10:13:28,2023-02-23 10:13:28,2023-02-23 10:13:28,499
S4-a- (2190).JPG,animal,0.896,Muestreo ct sauce/CT S 2023/S4/S4-a- (2190).JPG,2023-02-23,10:13:28,2023-02-23 10:13:28,2023-02-23 10:13:28,500
S4-a- (2191).JPG,animal,0.899,Muestreo ct sauce/CT S 2023/S4/S4-a- (2191).JPG,2023-02-23,10:13:45,2023-02-23 10:13:45,2023-02-23 10:13:45,501
S4-a- (2192).JPG,animal,0.885,Muestreo ct sauce/CT S 2023/S4/S4-a- (2192).JPG,2023-02-23,10:13:45,2023-02-23 10:13:45,2023-02-23 10:13:45,502
